ID,Subject,GitHub Sync ID,Project,Is Group,Is Template,Parent Task,Duration (Days),Is Milestone,Task Description,Depends on Tasks,Actual Start Date (via Time Sheet),Actual Time (in hours),Actual End Date (via Time Sheet),Hito de Lanzamiento,Fin Manual,Inicio Manual,Módulo NPDI,Requiere Evidencia Adjunta,Rol Responsable,Etapa NPDI,ID (Dependent Tasks),Task (Dependent Tasks),Subject (Dependent Tasks),Project (Dependent Tasks)
,Brainstorming,,PROJ-0043,0,0,,0,0,,,,0,,0,,,Core,0,MKT,1 – IDEA,,,,
,Investigación de Mercado,,PROJ-0043,1,0,,0,0,,"TASK-2026-02486,TASK-2026-02488,TASK-2026-02489,TASK-2026-02490,",,0,,0,,,Core,0,MKT,1 – IDEA,,TASK-2026-02486,Brainstorming,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02488,Analizar tendencias del mercado,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02489,Identificar necesidades no satisfechas del consumidor,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02490,Revisar productos competidores,
,Analizar tendencias del mercado,,PROJ-0043,0,0,TASK-2026-02487,3,0,,"TASK-2026-02486,",,0,,0,,,Core,0,MKT,1 – IDEA,,TASK-2026-02486,Brainstorming,
,Identificar necesidades no satisfechas del consumidor,,PROJ-0043,0,0,TASK-2026-02487,3,0,,"TASK-2026-02486,",,0,,0,,,Core,0,MKT,1 – IDEA,,TASK-2026-02486,Brainstorming,
,Revisar productos competidores,,PROJ-0043,0,0,TASK-2026-02487,3,0,,"TASK-2026-02486,",,0,,0,,,Core,0,MKT,1 – IDEA,,TASK-2026-02486,Brainstorming,
,STAGE-GATE IDEA,,PROJ-0043,0,0,,0,0,,"TASK-2026-02490,",,0,,0,,,Core,1,CEO,1 – IDEA,,TASK-2026-02490,Revisar productos competidores,
,Filtrado de Ideas,,PROJ-0043,1,0,,0,0,,"TASK-2026-02491,TASK-2026-02493,TASK-2026-02494,TASK-2026-02495,",,0,,0,,,Core,0,I+D,2 – CONCEPTO,,TASK-2026-02491,STAGE-GATE IDEA,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02493,Evaluar factibilidad técnica de las ideas,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02494,Evaluar factibilidad económica de las ideas,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02495,Seleccionar las ideas más prometedoras para desarrollo,
,Evaluar factibilidad técnica de las ideas,,PROJ-0043,0,0,TASK-2026-02492,3,0,,"TASK-2026-02491,",,0,,0,,,Core,0,I+D,2 – CONCEPTO,,TASK-2026-02491,STAGE-GATE IDEA,
,Evaluar factibilidad económica de las ideas,,PROJ-0043,0,0,TASK-2026-02492,3,0,,"TASK-2026-02491,",,0,,0,,,Core,0,I+D,2 – CONCEPTO,,TASK-2026-02491,STAGE-GATE IDEA,
,Seleccionar las ideas más prometedoras para desarrollo,,PROJ-0043,0,0,TASK-2026-02492,3,0,,"TASK-2026-02491,",,0,,0,,,Core,0,I+D,2 – CONCEPTO,,TASK-2026-02491,STAGE-GATE IDEA,
,Definición del Producto,,PROJ-0043,1,0,,0,0,,"TASK-2026-02491,TASK-2026-02492,TASK-2026-02497,TASK-2026-02498,",,0,,0,,,Core,0,MKT,2 – CONCEPTO,,TASK-2026-02491,STAGE-GATE IDEA,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02492,Filtrado de Ideas,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02497,"Describir las características principales del producto (Punto de precio, sensorial, conceptual)",
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02498,Definir el público objetivo,
,"Describir las características principales del producto (Punto de precio, sensorial, conceptual)",,PROJ-0043,0,0,TASK-2026-02496,3,0,,"TASK-2026-02491,TASK-2026-02492,",,0,,0,,,Core,0,MKT,2 – CONCEPTO,,TASK-2026-02491,STAGE-GATE IDEA,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02492,Filtrado de Ideas,
,Definir el público objetivo,,PROJ-0043,0,0,TASK-2026-02496,3,0,,"TASK-2026-02491,TASK-2026-02492,",,0,,0,,,Core,0,MKT,2 – CONCEPTO,,TASK-2026-02491,STAGE-GATE IDEA,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02492,Filtrado de Ideas,
,Estudio de Viabilidad,,PROJ-0043,1,0,,0,0,,"TASK-2026-02491,TASK-2026-02496,TASK-2026-02500,TASK-2026-02501,TASK-2026-02502,TASK-2026-02503,TASK-2026-02504,",,0,,0,,,Core,0,I+D,2 – CONCEPTO,,TASK-2026-02491,STAGE-GATE IDEA,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02496,Definición del Producto,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02500,Realizar análisis de costos preliminares,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02501,"Realizar un análisis FODA (fortalezas, oportunidades, debilidades y amenazas)",
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02502,"Establecer objetivo comercial (ventas, margen)",
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02503,Realizar análisis de capacidad instalada,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02504,"Definir normas aplicables (p ej: NOM 251, NOM 051, Acuerdo de aditivos)",
,Realizar análisis de costos preliminares,,PROJ-0043,0,0,TASK-2026-02499,7,0,,"TASK-2026-02491,TASK-2026-02496,",,0,,0,,,Core,0,I+D,2 – CONCEPTO,,TASK-2026-02491,STAGE-GATE IDEA,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02496,Definición del Producto,
,"Realizar un análisis FODA (fortalezas, oportunidades, debilidades y amenazas)",,PROJ-0043,0,0,TASK-2026-02499,7,0,,"TASK-2026-02491,TASK-2026-02496,",,0,,0,,,Core,0,I+D,2 – CONCEPTO,,TASK-2026-02491,STAGE-GATE IDEA,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02496,Definición del Producto,
