ID,subject,project,is_group,is_template,parent_task,duration,is_milestone,description,npdi_stage_name,npdi_module,npdi_responsible_role,npdi_requires_attachment,npdi_launch_milestone,depends_on.task
TASK-2026-02486,Brainstorming,PROJ-0043,0,0,,0,0,,1 – IDEA,Core,MKT,0,0,
TASK-2026-02487,Investigación de Mercado,PROJ-0043,1,0,,0,0,,1 – IDEA,Core,MKT,0,0,TASK-2026-02486
TASK-2026-02487,Investigación de Mercado,PROJ-0043,1,0,,0,0,,1 – IDEA,Core,MKT,0,0,TASK-2026-02488
TASK-2026-02487,Investigación de Mercado,PROJ-0043,1,0,,0,0,,1 – IDEA,Core,MKT,0,0,TASK-2026-02489
TASK-2026-02487,Investigación de Mercado,PROJ-0043,1,0,,0,0,,1 – IDEA,Core,MKT,0,0,TASK-2026-02490
TASK-2026-02488,Analizar tendencias del mercado,PROJ-0043,0,0,TASK-2026-02487,3,0,,1 – IDEA,Core,MKT,0,0,TASK-2026-02486
TASK-2026-02489,Identificar necesidades no satisfechas del consumidor,PROJ-0043,0,0,TASK-2026-02487,3,0,,1 – IDEA,Core,MKT,0,0,TASK-2026-02486
TASK-2026-02490,Revisar productos competidores,PROJ-0043,0,0,TASK-2026-02487,3,0,,1 – IDEA,Core,MKT,0,0,TASK-2026-02486
TASK-2026-02491,STAGE-GATE IDEA,PROJ-0043,0,0,,0,0,,1 – IDEA,Core,CEO,1,0,TASK-2026-02490
TASK-2026-02492,Filtrado de Ideas,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02491
TASK-2026-02492,Filtrado de Ideas,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02493
TASK-2026-02492,Filtrado de Ideas,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02494
TASK-2026-02492,Filtrado de Ideas,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02495
TASK-2026-02493,Evaluar factibilidad técnica de las ideas,PROJ-0043,0,0,TASK-2026-02492,3,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02491
TASK-2026-02494,Evaluar factibilidad económica de las ideas,PROJ-0043,0,0,TASK-2026-02492,3,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02491
TASK-2026-02495,Seleccionar las ideas más prometedoras para desarrollo,PROJ-0043,0,0,TASK-2026-02492,3,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02491
TASK-2026-02496,Definición del Producto,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,MKT,0,0,TASK-2026-02491
TASK-2026-02496,Definición del Producto,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,MKT,0,0,TASK-2026-02492
TASK-2026-02496,Definición del Producto,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,MKT,0,0,TASK-2026-02497
TASK-2026-02496,Definición del Producto,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,MKT,0,0,TASK-2026-02498
TASK-2026-02497,"Describir las características principales del producto (Punto de precio, sensorial, conceptual)",PROJ-0043,0,0,TASK-2026-02496,3,0,,2 – CONCEPTO,Core,MKT,0,0,TASK-2026-02491
TASK-2026-02497,"Describir las características principales del producto (Punto de precio, sensorial, conceptual)",PROJ-0043,0,0,TASK-2026-02496,3,0,,2 – CONCEPTO,Core,MKT,0,0,TASK-2026-02492
TASK-2026-02498,Definir el público objetivo,PROJ-0043,0,0,TASK-2026-02496,3,0,,2 – CONCEPTO,Core,MKT,0,0,TASK-2026-02491
TASK-2026-02498,Definir el público objetivo,PROJ-0043,0,0,TASK-2026-02496,3,0,,2 – CONCEPTO,Core,MKT,0,0,TASK-2026-02492
TASK-2026-02499,Estudio de Viabilidad,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02491
TASK-2026-02499,Estudio de Viabilidad,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02496
TASK-2026-02499,Estudio de Viabilidad,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02500
TASK-2026-02499,Estudio de Viabilidad,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02501
TASK-2026-02499,Estudio de Viabilidad,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02502
TASK-2026-02499,Estudio de Viabilidad,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02503
TASK-2026-02499,Estudio de Viabilidad,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02504
TASK-2026-02500,Realizar análisis de costos preliminares,PROJ-0043,0,0,TASK-2026-02499,7,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02491
TASK-2026-02500,Realizar análisis de costos preliminares,PROJ-0043,0,0,TASK-2026-02499,7,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02496
TASK-2026-02501,"Realizar un análisis FODA (fortalezas, oportunidades, debilidades y amenazas)",PROJ-0043,0,0,TASK-2026-02499,7,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02491
TASK-2026-02501,"Realizar un análisis FODA (fortalezas, oportunidades, debilidades y amenazas)",PROJ-0043,0,0,TASK-2026-02499,7,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02496
TASK-2026-02502,"Establecer objetivo comercial (ventas, margen)",PROJ-0043,0,0,TASK-2026-02499,7,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02491
TASK-2026-02502,"Establecer objetivo comercial (ventas, margen)",PROJ-0043,0,0,TASK-2026-02499,7,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02496
TASK-2026-02503,Realizar análisis de capacidad instalada,PROJ-0043,0,0,TASK-2026-02499,7,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02491
TASK-2026-02503,Realizar análisis de capacidad instalada,PROJ-0043,0,0,TASK-2026-02499,7,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02496
TASK-2026-02504,"Definir normas aplicables (p ej: NOM 251, NOM 051, Acuerdo de aditivos)",PROJ-0043,0,0,TASK-2026-02499,7,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02491
TASK-2026-02504,"Definir normas aplicables (p ej: NOM 251, NOM 051, Acuerdo de aditivos)",PROJ-0043,0,0,TASK-2026-02499,7,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02496
TASK-2026-02505,Pruebas de Concepto,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02491
TASK-2026-02505,Pruebas de Concepto,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02499
TASK-2026-02505,Pruebas de Concepto,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02506
TASK-2026-02505,Pruebas de Concepto,PROJ-0043,1,0,,0,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02507
TASK-2026-02506,Desarrollar prototipos iniciales,PROJ-0043,0,0,TASK-2026-02505,3,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02491
TASK-2026-02506,Desarrollar prototipos iniciales,PROJ-0043,0,0,TASK-2026-02505,3,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02499
TASK-2026-02507,Realizar pruebas de aceptación con consumidores o clientes,PROJ-0043,0,0,TASK-2026-02505,3,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02491
TASK-2026-02507,Realizar pruebas de aceptación con consumidores o clientes,PROJ-0043,0,0,TASK-2026-02505,3,0,,2 – CONCEPTO,Core,I+D,0,0,TASK-2026-02499
TASK-2026-02508,STAGE-GATE CONCEPTO,PROJ-0043,0,0,,0,0,,2 – CONCEPTO,Core,CEO,1,0,TASK-2026-02491
TASK-2026-02508,STAGE-GATE CONCEPTO,PROJ-0043,0,0,,0,0,,2 – CONCEPTO,Core,CEO,1,0,TASK-2026-02505
TASK-2026-02509,Formulación y Prototipado,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02509,Formulación y Prototipado,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02510
TASK-2026-02510,Desarrollar formulaciones detalladas del producto,PROJ-0043,0,0,TASK-2026-02509,3,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02511,Pruebas y Ajustes,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02508
TASK-2026-02511,Pruebas y Ajustes,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02509
TASK-2026-02511,Pruebas y Ajustes,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02512
TASK-2026-02511,Pruebas y Ajustes,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02513
TASK-2026-02511,Pruebas y Ajustes,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02514
